"","Date","Away","Score","Home","Score","Result","Home Spread","ATS","Total","OU"
"1","Aug 5, 2020","BKN","115","BOS","149","L","-9","L","224","O"
"2","Mar 3, 2020","BKN","129","BOS","120","W","-6.5","W","219","O"
"3","Nov 29, 2019","BOS","107","BKN","112","W","4.5","W","213","O"
"4","Nov 27, 2019","BKN","110","BOS","121","L","-8.5","L","214","O"
"5","Jan 28, 2019","BKN","104","BOS","112","L","-9","W","219","U"
"6","Jan 14, 2019","BOS","102","BKN","109","W","2.5","W","217","U"
"7","Jan 7, 2019","BKN","95","BOS","116","L","-10.5","L","219","U"
"8","Jan 6, 2018","BOS","87","BKN","85","L","3","W","205.5","U"
"9","Dec 31, 2017","BKN","105","BOS","108","L","-9.5","W","209.5","O"
"10","Nov 14, 2017","BOS","109","BKN","102","L","6.5","L","209.5","O"
"11","Apr 10, 2017","BKN","105","BOS","114","L","-10.5","W","222.5","U"
"12","Mar 17, 2017","BOS","98","BKN","95","L","8.5","W","214","U"
"13","Nov 23, 2016","BOS","111","BKN","92","L","7.5","L","215","U"
"14","Oct 26, 2016","BKN","117","BOS","122","L","-11.5","W","211.5","O"
"15","Jan 4, 2016","BOS","103","BKN","94","L","7.5","L","201.5","U"
"16","Jan 2, 2016","BKN","100","BOS","97","W","-9.5","W","203.5","U"
"17","Nov 22, 2015","BOS","101","BKN","111","W","6","W","200.5","O"
"18","Nov 20, 2015","BKN","95","BOS","120","L","-9","L","204","O"
"19","Dec 26, 2014","BKN","109","BOS","107","W","-1.5","W","201","O"
"20","Oct 29, 2014","BKN","105","BOS","121","L","-1","L","194","O"
"21","Apr 10, 2013","BKN","101","BOS","93","W","-3","W","190.5","O"
"22","Nov 28, 2012","BKN","95","BOS","83","W","-4","W","189.5","U"
"23","Apr 14, 2012","BOS","94","NYJ","82","L","7","L","184.5","U"
"24","Mar 2, 2012","NYJ","94","BOS","107","L","-6","L","184","O"
"25","Jan 4, 2012","NYJ","70","BOS","89","L","-12.5","L","180","U"
"26","Mar 14, 2011","BOS","79","NYJ","88","W","5.5","W","187","U"
"27","Feb 16, 2011","NYJ","80","BOS","94","L","-10.5","L","185.5","U"
"28","Dec 5, 2010","BOS","100","NYJ","75","L","5.5","L","185","U"
